"ATCOCode","NaptanCode","PlateCode","CleardownCode","CommonName","CommonNameLang","ShortCommonName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","Bearing","NptgLocalityCode","LocalityName","ParentLocalityName","GrandParentLocalityName","Town","TownLang","Suburb","SuburbLang","LocalityCentre","GridType","Easting","Northing","Longitude","Latitude","StopType","BusStopType","TimingStatus","DefaultWaitTime","Notes","NotesLang","AdministrativeAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification","Status"
"1400EB75079","esuagjaw",,,"Asda",,,,"Asda",,"Pevensey Bay Road",,,,"opp",,"NE","E0010503","Langney","Eastbourne",,,,,,0,"U",563559,102173,0.31944203275,50.7960472616,"BCT","MKD","PTP",,,,"079",2005-08-08 00:00:00,2011-06-09 12:14:00,6,"rev","act"
"1400EB0404","esuagamg",,,"Beach Road",,,,"Beach Road",,"Seaside",,,,"adj",,"SW","E0010506","Roselands","Eastbourne",,,,,,0,"U",562216,100192,0.29952837679,50.778624498,"BCT","MKD","TIP",,,,"079",2005-08-08 00:00:00,2010-08-19 10:24:00,2,"rev","act"
"1400EB0424","esuagawd",,,"Bowood Avenue",,,,"Bowood Avenue",,"Churchdale Road",,,,"adj",,"NW","E0010506","Roselands","Eastbourne",,,,,,0,"U",561899,100924,0.29535797024,50.7852902892,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2010-08-19 10:38:00,2,"rev","act"
"1400EB75089","esuagjdp",,,"The Rising",,,,"The Rising",,"Langney Rise",,,,"opp",,"NW","E0010503","Langney","Eastbourne",,,,,,0,"U",562834,102694,0.3093944389,50.800932554,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2006-12-20 15:16:00,1,"rev","act"
"1400EB9297","esuagmdw",,,"Chaffinch Road",,,,"West Rise School",,"Sevenoaks Road",,,,"opp",,"W","E0010503","Langney","Eastbourne",,,,,,0,"U",562269,102578,0.30133227791,50.8000486255,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2010-10-04 15:39:00,4,"rev","act"
"1400EB0445","esuagdjd",,,"Bourne Street",,,,"Bourne Street",,"Cavendish Avenue",,,,"before",,"S","E0010506","Roselands","Eastbourne",,,,,,0,"U",561540,99519,0.28965269678,50.7727658683,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2017-01-13 10:56:00,2,"rev","act"
"1400EB0447","esuagdjm",,,"Langney Road",,,,"Cavendish Place",,"Cavendish Place",,,,"adj",,"NW","E0010506","Roselands","Eastbourne",,,,,,0,"U",561557,99239,0.2897707125,50.7702452244,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2018-01-24 08:47:00,3,"del","del"
"1400EB0312","esuadtwg",,,"Spring Lodge Close",,,,"Spring Lodge Close",,"Netherfield Avenue",,,,"nr",,"W","E0010503","Langney","Eastbourne",,,,,,0,"U",563510,102609,0.31894130472,50.7999786148,"BCT","MKD","TIP",,,,"079",2005-08-08 00:00:00,2016-12-22 12:52:00,4,"rev","act"
"1400EB75103","esuagjgm",,,"Old Martello Road",,,,"Old Martello Road",,"Pevensey Bay Road",,,,"adj",,"SW","E0010503","Langney","Eastbourne",,,,,,0,"U",564474,102856,0.33271953718,50.8019253466,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2016-12-22 12:42:00,2,"rev","act"
"1400EB0316","esuadtwt",,,"Tidebrook Gardens",,,,"Tidebrook Gardens",,"Telscombe Road",,,,"opp",,"N","E0010503","Langney","Eastbourne",,,,,,0,"U",563805,102538,0.32309222556,50.7992574236,"BCT","MKD","TIP",,,,"079",2005-08-08 00:00:00,2010-08-16 13:09:00,2,"rev","act"
